State,start,end,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alabama,2.5,2.5,2.4,2.4,2.8,2.9,3.2,3.4,3.3,3.5,3.1,2.7,2.7,2.9,2.5
Alaska,4.9,4.9,5.7,5.3,5.7,5,3.6,5.1,5,4.9,5.1,5,4.8,4.9,4.9
Arizona,6.6,6.6,3.4,3.2,3.5,4.3,4.8,4.9,4.7,4.6,5,4.6,4.8,5.2,6.6
Arkansas,5.4,5.4,5.2,4.9,4.9,5.2,5.1,5.2,5.6,5.8,5.3,5.9,5.6,5.4,5.4
California,3.4,3.4,4.9,4.8,5,4.9,4.2,4.4,4.4,4.4,3.9,3.7,3.6,3.5,3.4
Colorado,4,4,6.3,6.1,6.6,6.6,6.7,6.5,6,5.3,5.4,5.1,4.6,4.2,4
Connecticut,2.1,2.1,3.3,3.2,3.3,3.7,3.4,3.4,3.7,3.2,3.2,3,3,2.9,2.1
Delaware,2.4,2.4,4.8,4.7,4.6,4.3,4.4,4.5,4.9,5.3,3,2.1,2,2.6,2.4
District of Columbia,4.5,4.5,6.8,7.1,7.1,6.4,6.6,8.5,6.3,5.6,6.9,6.1,7.3,5.4,4.5
Florida,3.9,3.9,5.1,5,5.5,5.4,5.1,5.6,5.5,4.7,3.9,3.6,3.6,4,3.9
Georgia,2.5,2.5,3.2,4.1,4.3,4.6,5.1,4.6,4.1,3.7,2.7,2.4,2.2,2.6,2.5
Hawaii,3.5,3.5,6.5,7.4,8,7.9,7.7,6.3,5.6,4.8,4.6,4.4,3.4,3.4,3.5
Idaho,2.5,2.5,3,3.2,3.2,3.4,4,4.4,3.8,3.8,3.2,2.9,3.2,2.9,2.5
Illinois,1.7,1.7,2,1.9,1.8,1.8,1.8,1.8,1.6,1.6,1.8,1.6,1.7,1.6,1.7
Indiana,5,5,3.5,3.4,3.6,3.8,4.4,4.7,4.6,4.8,5.8,5.9,5.7,4.7,5
Iowa,5.9,5.9,7.7,8,8,8,8.3,9.4,7.7,7.1,6.2,6.5,6.5,6.1,5.9
Kansas,5.1,5.1,4.5,4,3.9,3.8,4.3,4.4,5,5.7,4.9,4.4,4.9,4.7,5.1
Kentucky,5.5,5.5,4.1,4.6,5.3,5.5,5.5,5.9,6.2,5.7,5.6,5.3,5.4,5,5.5
Louisiana,2.8,2.8,2.6,2.5,2.5,2.4,2.3,2.9,3.7,3.3,3.1,3.3,3,3.3,2.8
Maine,3.4,3.4,3.5,3.5,2.8,3,2.7,2.5,2.6,2.9,3.2,2.7,2.8,2.1,3.4
Maryland,2,2,2.9,2.7,2.6,2.5,2.6,2.4,2.3,2,1.9,2,2.1,2.1,2
Massachusetts,3.8,3.8,4.9,4.7,4.3,4.3,4.4,4.2,4.3,4.5,4.7,4.3,3.9,3.8,3.8
Michigan,3.1,3.1,4.1,4.7,3.9,3.8,3.8,3.7,3.6,3.7,3.6,3.3,3.5,3.2,3.1
Minnesota,4.7,4.7,8.2,7.6,7.9,6.3,6.1,6.3,6.2,6,5.6,4.6,4.4,4.6,4.7
Mississippi,3.2,3.2,2.6,2.7,2.1,2.1,2.4,2.7,2.6,3,2.8,2.8,3.4,3.2,3.2
Missouri,4.4,4.4,5,5.2,5,4.4,4.6,4.5,4,3.7,3.6,3.9,4.2,4.2,4.4
Montana,5.8,5.8,6.9,6.6,5.8,5.3,5.5,6.5,5.3,4.8,4.6,4.4,4.3,4.7,5.8
Nebraska,6,6,6.9,7.4,7.4,6.4,9.1,8.7,8.3,7.8,7.3,7.7,7.2,6.7,6
Nevada,4.7,4.7,NA,6.2,6.2,6.5,5.9,5.9,6.2,5.7,5,4.4,4.3,4.2,4.7
New Hampshire,1.9,1.9,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.6,1.8,1.8,1.9
New Jersey,2.6,2.6,2.2,2.6,2.8,3.3,3.1,2.7,3,2.7,2.5,2.3,2.3,2.2,2.6
New Mexico,3.4,3.4,3.5,3.7,3.9,3.9,4.5,4.5,4.2,4.5,4.2,3.9,3.4,3.4,3.4
New York,2.5,2.5,3.5,3.2,3.3,2.9,2.8,2.5,3,3,3.1,3,2.9,2.6,2.5
North Carolina,2.1,2.1,2.8,2.6,2.7,2.6,2.9,3.1,2.9,2.7,2.2,2.2,2,2.2,2.1
North Dakota,5.4,5.4,6.3,6.5,6.8,7,7,7.4,6.4,6.1,6.4,6.3,5.3,5.2,5.4
Ohio,3.6,3.6,5.3,5.6,5.2,4.9,4.6,4.4,4.3,4.2,3.7,3.2,3.4,3.7,3.6
Oklahoma,5.7,5.7,7.3,7.3,7.8,7.6,7.4,8,7.7,7.5,6.5,5.1,4.7,5.2,5.7
Oregon,4.9,4.9,5.5,5.3,6,5.8,6.5,7.3,6.2,5.3,5.2,5.3,5.6,4.9,4.9
Pennsylvania,3.7,3.7,4.2,4.6,4.7,4.5,5,5.1,4.9,5,4.6,3.9,3.5,3.6,3.7
Rhode Island,5.6,5.6,5.6,6,6.3,6.2,6.6,6.4,8.4,7.4,6.4,6.3,6.5,5.5,5.6
South Carolina,2.6,2.6,3.1,3.3,3.4,3.3,3,3.1,3.3,3.5,3.6,3.4,3.1,2.7,2.6
South Dakota,5.8,5.8,7.1,6.7,6.8,7,6.5,6.9,6.9,7,6.7,7.2,7.2,6.9,5.8
Tennessee,4.4,4.4,3.9,4,4.3,4.4,4.7,4.8,4.5,4.3,4.1,4,4.2,4.4,4.4
Texas,2.4,2.4,1.7,1.8,1.9,1.9,2.2,2.7,2.6,2.3,2.1,1.9,2.3,2.4,2.4
Utah,2.5,2.5,3,2.8,3,2.6,2.6,2.9,2.7,2.6,2.4,2.4,2.5,2.3,2.5
Vermont,4.8,4.8,5,5,5.8,5.1,5.9,5.5,5.1,4.6,4.9,4.2,4.3,5.2,4.8
Virginia,1.4,1.4,1.6,1.7,1.8,1.9,1.9,1.9,2.2,2,1.8,1.4,1.5,1.4,1.4
Washington,3.3,3.3,5,4.8,4.4,4.1,4.3,4.6,4.4,4.5,4.2,3.9,4,3.6,3.3
West Virginia,8.9,8.9,5.9,5.6,5.9,5.9,6,7.7,7.7,7.8,8.3,7.6,7.5,9,8.9
Wisconsin,3.4,3.4,4.4,3.8,3.7,3.7,4.2,4.5,4.1,3.9,3.7,3.4,3.4,3.3,3.4
Wyoming,7.2,7.2,6.1,7.1,6.4,7.9,9.4,9.7,9.3,8.2,8.5,8.4,7.2,7.3,7.2