State,RegionCode,RegionName
Washington,FW,Far West
California,FW,Far West
Texas,SW,Southwest
Florida,SE,Southeast
New York,ME,Mideast
Alabama,SE,Southeast
Alaska,FW,Far West
Arizona,SW,Southwest
Arkansas,SE,Southeast
Colorado,MT,Rocky Mountain
Connecticut,NE,New England
Delaware,ME,Mideast
District of Columbia,ME,Mideast
Georgia,SE,Southeast
Hawaii,FW,Far West
Idaho,MT,Rocky Mountain
Illinois,GL,Great Lakes
Indiana,GL,Great Lakes
Iowa,GP,Plains
Kansas,GP,Plains
Kentucky,SE,Southeast
Louisiana,SE,Southeast
Maine,NE,New England
Maryland,ME,Mideast
Massachusetts,NE,New England
Michigan,GL,Great Lakes
Minnesota,GP,Plains
Mississippi,SE,Southeast
Missouri,GP,Plains
Montana,MT,Rocky Mountain
Nebraska,GP,Plains
Nevada,FW,Far West
New Hampshire,NE,New England
New Jersey,ME,Mideast
New Mexico,SW,Southwest
North Carolina,SE,Southeast
North Dakota,GP,Plains
Ohio,GL,Great Lakes
Oklahoma,SW,Southwest
Oregon,FW,Far West
Pennsylvania,ME,Mideast
Puerto Rico,SE,Southeast
Rhode Island,NE,New England
South Carolina,SE,Southeast
South Dakota,GP,Plains
Tennessee,SE,Southeast
Utah,MT,Rocky Mountain
Vermont,NE,New England
Virginia,SE,Southeast
West Virginia,SE,Southeast
Wisconsin,GL,Great Lakes
Wyoming,MT,Rocky Mountain